,2017rank,City,State[c],2017estimate,2010 Census,Change,2016 land area(sq m),2016 land area(sq km),2016 population density(per sq mi),2016 population density(per sq km),Location,City_urls,Elevation,Timezone
95,95,Hialeah,Florida,238942,224669,+6.35%,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W,"https://en.wikipedia.org//wiki/Hialeah,_Florida",7 ft (2 m),UTC−5 (EST)
96,96,Fremont,California,237807,214089,+11.08%,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2",37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W,"https://en.wikipedia.org//wiki/Fremont,_California",56 ft (17 m),UTC−8 (Pacific)
97,97,Boise,Idaho,228790,205671,+11.24%,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2",43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W,"https://en.wikipedia.org//wiki/Boise,_Idaho","2,730 ft (830 m)",UTC−7 (MST)
98,98,Richmond,Virginia,228783,204214,+12.03%,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2",37°31′53″N 77°28′34″W﻿ / ﻿37.5314°N 77.4760°W,"https://en.wikipedia.org//wiki/Richmond,_Virginia",166.45 ft (45.7 m),UTC-5 (EST)
99,99,Baton Rouge,Louisiana,221599,229493,−3.44%,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2",30°26′32″N 91°07′51″W﻿ / ﻿30.4422°N 91.1309°W,"https://en.wikipedia.org//wiki/Baton_Rouge,_Louisiana",56 ft (17 m),UTC−6 (CST)
100,100,Spokane,Washington,219190,208916,+4.92%,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2",47°40′01″N 117°26′00″W﻿ / ﻿47.6669°N 117.4333°W,"https://en.wikipedia.org//wiki/Spokane,_Washington","1,843 ft (562 m)",UTC−8 (PST)
101,101,Des Moines,Iowa,216853,203433,+6.60%,88.9 sq mi,230.2 km2,"2,424/sq mi",936/km2,41°34′21″N 93°36′37″W﻿ / ﻿41.5726°N 93.6102°W,"https://en.wikipedia.org//wiki/Des_Moines,_Iowa",955 ft (291 m),UTC-6 (CST)
102,102,Tacoma,Washington,216279,198397,+9.01%,49.7 sq mi,128.7 km2,"4,251/sq mi","1,641/km2",47°15′08″N 122°27′35″W﻿ / ﻿47.2522°N 122.4598°W,"https://en.wikipedia.org//wiki/Tacoma,_Washington",243 ft (74 m),UTC−8 (PST)
103,103,San Bernardino,California,215941,209924,+2.87%,61.5 sq mi,159.3 km2,"3,516/sq mi","1,358/km2",34°08′30″N 117°17′37″W﻿ / ﻿34.1416°N 117.2936°W,"https://en.wikipedia.org//wiki/San_Bernardino,_California","1,053 ft (321 m)",UTC−8 (Pacific)
104,104,Modesto,California,215030,201165,+6.89%,43.0 sq mi,111.4 km2,"4,934/sq mi","1,905/km2",37°38′15″N 121°00′11″W﻿ / ﻿37.6375°N 121.0030°W,"https://en.wikipedia.org//wiki/Modesto,_California",89 ft (27 m),UTC−8 (Pacific)
105,105,Fontana,California,213739,196069,+9.01%,43.0 sq mi,111.4 km2,"4,876/sq mi","1,883/km2",34°06′32″N 117°27′46″W﻿ / ﻿34.1090°N 117.4629°W,"https://en.wikipedia.org//wiki/Fontana,_California","1,237 ft (377 m)",UTC-8 (PST)
106,106,Santa Clarita,California,210089,176320,+19.15%,52.8 sq mi,136.8 km2,"3,446/sq mi","1,331/km2",34°24′11″N 118°30′15″W﻿ / ﻿34.4030°N 118.5042°W,"https://en.wikipedia.org//wiki/Santa_Clarita,_California","1,207 ft (368 m)",UTC−08:00 (Pacific)
107,107,Birmingham,Alabama,209880,212237,−1.11%,146.1 sq mi,378.4 km2,"1,452/sq mi",561/km2,33°31′39″N 86°47′56″W﻿ / ﻿33.5274°N 86.7990°W,"https://en.wikipedia.org//wiki/Birmingham,_Alabama",644 ft (196 m),UTC−6 (CST)
108,108,Oxnard,California,209877,197899,+6.05%,26.9 sq mi,69.7 km2,"7,729/sq mi","2,984/km2",34°12′08″N 119°12′17″W﻿ / ﻿34.2023°N 119.2046°W,"https://en.wikipedia.org//wiki/Oxnard,_California",52 ft (16 m),UTC−8 (Pacific)
109,109,Fayetteville,North Carolina,209468,200564,+4.44%,147.7 sq mi,382.5 km2,"1,386/sq mi",535/km2,35°04′58″N 78°58′25″W﻿ / ﻿35.0828°N 78.9735°W,"https://en.wikipedia.org//wiki/Fayetteville,_North_Carolina",263 ft (80 m),UTC−5 (Eastern (EST))
110,110,Moreno Valley,California,209050,193365,+8.11%,51.3 sq mi,132.9 km2,"4,006/sq mi","1,547/km2",33°55′24″N 117°12′21″W﻿ / ﻿33.9233°N 117.2057°W,"https://en.wikipedia.org//wiki/Moreno_Valley,_California","1,631 ft (497 m)",UTC−8 (Pacific)
111,111,Rochester,New York,206284,210565,−2.03%,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2",43°10′12″N 77°37′01″W﻿ / ﻿43.1699°N 77.6169°W,"https://en.wikipedia.org//wiki/Rochester,_New_York",505 ft (154 m),UTC−5 (EST)
112,112,Glendale,California,201361,191719,+5.03%,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2",34°10′53″N 118°14′45″W﻿ / ﻿34.1814°N 118.2458°W,"https://en.wikipedia.org//wiki/Glendale,_California",522 ft (159 m),UTC−8 (Pacific)
113,113,Huntington Beach,California,200641,189992,+5.60%,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2",33°41′26″N 118°00′33″W﻿ / ﻿33.6906°N 118.0093°W,"https://en.wikipedia.org//wiki/Huntington_Beach,_California",39 ft (12 m),UTC−8 (Pacific)
114,114,Salt Lake City,Utah,200591,186440,+7.59%,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2,40°46′37″N 111°55′52″W﻿ / ﻿40.7769°N 111.9310°W,https://en.wikipedia.org//wiki/Salt_Lake_City,"4,226 ft (1,288 m)",UTC−7 (Mountain)
115,115,Grand Rapids,Michigan,200217,188040,+6.48%,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2",42°57′40″N 85°39′20″W﻿ / ﻿42.9612°N 85.6556°W,"https://en.wikipedia.org//wiki/Grand_Rapids,_Michigan",640 ft (200 m),UTC-5 (EST)
116,116,Amarillo,Texas,199924,190695,+4.84%,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,35°12′00″N 101°49′49″W﻿ / ﻿35.1999°N 101.8302°W,"https://en.wikipedia.org//wiki/Amarillo,_Texas","3,605 ft (1,099 m)",UTC−6 (CST)
117,117,Yonkers,New York,199663,195976,+1.88%,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2",40°56′45″N 73°52′03″W﻿ / ﻿40.9459°N 73.8674°W,"https://en.wikipedia.org//wiki/Yonkers,_New_York",82 ft (25 m),UTC-5 (EST)
118,118,Aurora,Illinois,199602,197899,+0.86%,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2",41°45′49″N 88°17′24″W﻿ / ﻿41.7635°N 88.2901°W,"https://en.wikipedia.org//wiki/Aurora,_Illinois",718 ft (219 m),UTC−6 (CST)
119,119,Montgomery,Alabama,198218,205764,−3.67%,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2,32°20′50″N 86°15′58″W﻿ / ﻿32.3472°N 86.2661°W,"https://en.wikipedia.org//wiki/Montgomery,_Alabama",240 ft (73 m),UTC−6 (CST)
120,120,Akron,Ohio,198006,199110,−0.55%,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2",41°04′50″N 81°31′17″W﻿ / ﻿41.0805°N 81.5214°W,"https://en.wikipedia.org//wiki/Akron,_Ohio","1,004 ft (306 m)",UTC-5 (Eastern (EST))
121,121,Little Rock,Arkansas,197881,193524,+2.25%,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2,34°43′31″N 92°21′31″W﻿ / ﻿34.7254°N 92.3586°W,"https://en.wikipedia.org//wiki/Little_Rock,_Arkansas",335 ft (102 m),UTC-6 (CST)
122,122,Huntsville,Alabama,197318,180105,+9.56%,213.4 sq mi,552.7 km2,905/sq mi,349/km2,34°41′56″N 86°40′23″W﻿ / ﻿34.6990°N 86.6730°W,"https://en.wikipedia.org//wiki/Huntsville,_Alabama",600 ft (183 m),UTC−6 (CST)
123,123,Augusta,Georgia,196939,195844,+0.56%,302.5 sq mi,783.5 km2,652/sq mi,252/km2,33°21′56″N 82°04′24″W﻿ / ﻿33.3655°N 82.0734°W,"https://en.wikipedia.org//wiki/Augusta,_Georgia",136 ft (45 m),UTC-5 (EST)
124,124,Port St. Lucie,Florida,195248,164603,+18.62%,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2,27°16′50″N 80°23′18″W﻿ / ﻿27.2806°N 80.3883°W,"https://en.wikipedia.org//wiki/Port_St._Lucie,_Florida",16 ft (5 m),UTC−5 (Eastern (EST))
125,125,Grand Prairie,Texas,194614,175396,+10.96%,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2",32°41′13″N 97°01′16″W﻿ / ﻿32.6869°N 97.0211°W,"https://en.wikipedia.org//wiki/Grand_Prairie,_Texas",515 ft (157 m),UTC-6 (CST)
126,126,Columbus,Georgia,194160,189885,+2.25%,216.4 sq mi,560.5 km2,913/sq mi,353/km2,32°30′37″N 84°52′30″W﻿ / ﻿32.5102°N 84.8749°W,"https://en.wikipedia.org//wiki/Columbus,_Georgia",243 ft (74 m),UTC−5 (EST)
127,127,Tallahassee,Florida,193551,181376,+6.71%,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2,30°27′18″N 84°15′12″W﻿ / ﻿30.4551°N 84.2534°W,"https://en.wikipedia.org//wiki/Tallahassee,_Florida",203 ft (62 m),UTC−5 (Eastern (EST))
128,128,Overland Park,Kansas,192536,173372,+11.05%,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2,38°53′20″N 94°41′26″W﻿ / ﻿38.8890°N 94.6906°W,"https://en.wikipedia.org//wiki/Overland_Park,_Kansas","1,086 ft (331 m)",UTC-6 (CST)
129,129,Tempe,Arizona,192364,161719,+18.95%,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2",33°23′18″N 111°55′54″W﻿ / ﻿33.3884°N 111.9318°W,"https://en.wikipedia.org//wiki/Tempe,_Arizona","1,140–1,495 ft (347.47 – 455.68 m)",UTC−7 (MST (no DST))
130,130,McKinney,Texas,191645,131117,+46.16%,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2",33°11′55″N 96°40′05″W﻿ / ﻿33.1985°N 96.6680°W,"https://en.wikipedia.org//wiki/McKinney,_Texas",630 ft (192 m),UTC−6 (CST)
131,131,Mobile,Alabama,189572,195111,−2.84%,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2,30°40′06″N 88°06′01″W﻿ / ﻿30.6684°N 88.1002°W,"https://en.wikipedia.org//wiki/Mobile,_Alabama",10 ft (3 m),UTC−6 (CST)
132,132,Cape Coral,Florida,189343,154305,+22.71%,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2,26°38′36″N 81°59′51″W﻿ / ﻿26.6432°N 81.9974°W,"https://en.wikipedia.org//wiki/Cape_Coral,_Florida",5 ft (2 m),UTC−05:00 (EST)
133,133,Shreveport,Louisiana,188987,199311,−5.18%,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2,32°28′01″N 93°47′32″W﻿ / ﻿32.4669°N 93.7922°W,"https://en.wikipedia.org//wiki/Shreveport,_Louisiana",154 to 253 ft (46 to 77.1 m),UTC−6 (CST)
134,134,Frisco,Texas,188170,116989,+60.84%,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2,33°09′19″N 96°49′21″W﻿ / ﻿33.1554°N 96.8226°W,"https://en.wikipedia.org//wiki/Frisco,_Texas",774 ft (236 m),UTC-6 (CST)
135,135,Knoxville,Tennessee,187500,178874,+4.82%,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2,35°58′15″N 83°56′57″W﻿ / ﻿35.9707°N 83.9493°W,"https://en.wikipedia.org//wiki/Knoxville,_Tennessee",886 ft (270 m),UTC−5 (EST)
136,136,Worcester,Massachusetts,185877,181045,+2.67%,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2",42°16′10″N 71°48′28″W﻿ / ﻿42.2695°N 71.8078°W,"https://en.wikipedia.org//wiki/Worcester,_Massachusetts",480 ft (146 m),UTC-5 (Eastern)
137,137,Brownsville,Texas,183392,175023,+4.78%,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2,25°59′57″N 97°27′18″W﻿ / ﻿25.9991°N 97.4550°W,"https://en.wikipedia.org//wiki/Brownsville,_Texas",33 ft (10 m),UTC-6 (CST)
138,138,Vancouver,Washington,183012,161791,+13.12%,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2",45°38′06″N 122°35′45″W﻿ / ﻿45.6349°N 122.5957°W,"https://en.wikipedia.org//wiki/Vancouver,_Washington",171 ft (52 m),UTC−8 (Pacific)
139,139,Fort Lauderdale,Florida,182595,165521,+10.32%,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2",26°08′28″N 80°08′48″W﻿ / ﻿26.1412°N 80.1467°W,"https://en.wikipedia.org//wiki/Fort_Lauderdale,_Florida",9 ft (2.75 m),UTC−5 (Eastern (EST))
140,140,Sioux Falls,South Dakota,181883,153888,+18.19%,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2,43°32′18″N 96°43′55″W﻿ / ﻿43.5383°N 96.7320°W,"https://en.wikipedia.org//wiki/Sioux_Falls,_South_Dakota","1,470 ft (448 m)",UTC−6 (Central)
141,141,Ontario,California,181107,163924,+10.48%,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2",34°02′22″N 117°36′15″W﻿ / ﻿34.0394°N 117.6042°W,"https://en.wikipedia.org//wiki/Ontario,_California","1,004 ft (306 m)",UTC−8 (Pacific)
142,142,Chattanooga,Tennessee,180557,167674,+7.68%,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,35°03′58″N 85°14′54″W﻿ / ﻿35.0660°N 85.2484°W,"https://en.wikipedia.org//wiki/Chattanooga,_Tennessee",676 ft (206 m),UTC-5 (EST)
143,143,Providence,Rhode Island,179335,178042,+0.73%,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",41°49′23″N 71°25′08″W﻿ / ﻿41.8231°N 71.4188°W,"https://en.wikipedia.org//wiki/Providence,_Rhode_Island",23 m (75 ft),UTC−5 (Eastern Time Zone)
144,144,Newport News,Virginia,178626,180719,−1.16%,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",37°04′34″N 76°31′19″W﻿ / ﻿37.0762°N 76.5220°W,"https://en.wikipedia.org//wiki/Newport_News,_Virginia",15 ft (4.5 m),UTC−5 (EST)
145,145,Rancho Cucamonga,California,177751,165269,+7.55%,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",34°07′24″N 117°33′51″W﻿ / ﻿34.1233°N 117.5642°W,"https://en.wikipedia.org//wiki/Rancho_Cucamonga,_California","1,207 ft (368 m)",UTC−8 (PST)
146,146,Santa Rosa,California,177586,167815,+5.82%,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W,"https://en.wikipedia.org//wiki/Santa_Rosa,_California",164 ft (50 m),UTC−8 (Pacific)
147,147,Oceanside,California,176080,167086,+5.38%,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2",33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W,"https://en.wikipedia.org//wiki/Oceanside,_California",66 ft (20 m),UTC−8 (Pacific)
148,148,Salem,Oregon,173442,154637,+12.16%,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2",44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W,"https://en.wikipedia.org//wiki/Salem,_Oregon",154 ft (46.7 m),UTC−8 (PST)
149,149,Elk Grove,California,172886,153015,+12.99%,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2",38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W,"https://en.wikipedia.org//wiki/Elk_Grove,_California",46 ft (14 m),UTC-8 (Pacific)
150,150,Garden Grove,California,172646,170883,+1.03%,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2",33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W,"https://en.wikipedia.org//wiki/Garden_Grove,_California",89 ft (27 m),UTC-8 (Pacific)
151,151,Pembroke Pines,Florida,172374,154019,+11.92%,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2",26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W,"https://en.wikipedia.org//wiki/Pembroke_Pines,_Florida",7 ft (2 m),UTC−5 (Eastern (EST))
152,152,Peoria,Arizona,172259,154065,+11.81%,175.7 sq mi,455.1 km2,934/sq mi,361/km2,33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W,"https://en.wikipedia.org//wiki/Peoria,_Arizona","1,142 ft (348 m)",UTC−7 (MST (no DST))
153,153,Eugene,Oregon,171245,156185,+9.64%,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W,"https://en.wikipedia.org//wiki/Eugene,_Oregon",430 ft (131 m),UTC-8 (PST)
154,154,Corona,California,168819,152374,+10.79%,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W,"https://en.wikipedia.org//wiki/Corona,_California",679 ft (207 m),UTC-8 (Pacific)
155,155,Cary,North Carolina,168160,135234,+24.35%,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W,"https://en.wikipedia.org//wiki/Cary,_North_Carolina",495 ft (151 m),UTC-5 (EST)
156,156,Springfield,Missouri,168122,159498,+5.41%,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W,"https://en.wikipedia.org//wiki/Springfield,_Missouri","1,299 ft (396 m)",UTC−6 (CST)
157,157,Fort Collins,Colorado,167830,143986,+16.56%,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W,"https://en.wikipedia.org//wiki/Fort_Collins,_Colorado","5,003 ft (1,525 m)",UTC−7 (MST)
158,158,Jackson,Mississippi,164422,173514,−5.24%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W,"https://en.wikipedia.org//wiki/Jackson,_Mississippi",279 ft (85 m),UTC−6 (CST)
159,159,Alexandria,Virginia,160530,139966,+14.69%,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W,"https://en.wikipedia.org//wiki/Alexandria,_Virginia",39 ft (12 m),UTC-5 (EST)
160,160,Hayward,California,159620,144186,+10.70%,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W,"https://en.wikipedia.org//wiki/Hayward,_California",105 ft (32 m),UTC−8 (Pacific)
161,161,Lancaster,California,159053,156633,+1.55%,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W,"https://en.wikipedia.org//wiki/Lancaster,_California","2,359 ft (719 m)",UTC-8 (Pacific)
162,162,Lakewood,Colorado,156798,142980,+9.66%,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W,"https://en.wikipedia.org//wiki/Lakewood,_Colorado","5,518 ft (1,682 m)",UTC-7 (MST)
163,163,Clarksville,Tennessee,156794,132929,+17.95%,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W,"https://en.wikipedia.org//wiki/Clarksville,_Tennessee",476 ft (145 m),UTC−6 (CST)
164,164,Palmdale,California,156667,152750,+2.56%,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W,"https://en.wikipedia.org//wiki/Palmdale,_California","2,657 ft (810 m)",UTC−8 (Pacific Time Zone)
165,165,Salinas,California,156259,150441,+3.87%,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W,"https://en.wikipedia.org//wiki/Salinas,_California",52 ft (16 m),UTC−8 (Pacific)
166,166,Springfield,Massachusetts,155032,153060,+1.29%,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W,"https://en.wikipedia.org//wiki/Springfield,_Massachusetts",70 ft (21 m),UTC−5 (Eastern)
167,167,Hollywood,Florida,154823,140768,+9.98%,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W,"https://en.wikipedia.org//wiki/Hollywood,_Florida",9 ft (3 m),UTC−5 (EST)
168,168,Pasadena,Texas,153219,149043,+2.80%,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W,"https://en.wikipedia.org//wiki/Pasadena,_Texas",30 ft (9.1 m),UTC−6 (CST)
169,169,Sunnyvale,California,153185,140081,+9.35%,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W,"https://en.wikipedia.org//wiki/Sunnyvale,_California",125 ft (38 m),UTC−8 (PST)
170,170,Macon,Georgia,153095,91351,+67.59%,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W,"https://en.wikipedia.org//wiki/Macon,_Georgia",116 m (381 ft),UTC−5 (EST)
171,171,Kansas City,Kansas,152958,145786,+4.92%,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W,"https://en.wikipedia.org//wiki/Kansas_City,_Kansas",869 ft (265 m),UTC−6 (CST)
172,172,Pomona,California,152361,149058,+2.22%,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W,"https://en.wikipedia.org//wiki/Pomona,_California",850 ft (259 m),UTC−8 (Pacific)
173,173,Escondido,California,152213,143911,+5.77%,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W,"https://en.wikipedia.org//wiki/Escondido,_California",646 ft (197 m),UTC−8 (Pacific)
174,174,Killeen,Texas,149103,127921,+16.56%,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W,"https://en.wikipedia.org//wiki/Killeen,_Texas",890 ft (270 m),UTC-6 (Central (CST))
175,175,Naperville,Illinois,148304,141853,+4.55%,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W,"https://en.wikipedia.org//wiki/Naperville,_Illinois",702 ft (214 m),UTC−6 (CST)
176,176,Joliet,Illinois,148099,147433,+0.45%,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W,"https://en.wikipedia.org//wiki/Joliet,_Illinois",614 ft (187 m),UTC-6 (CST)
177,177,Bellevue,Washington,147599,122363,+20.62%,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W,"https://en.wikipedia.org//wiki/Bellevue,_Washington",85 ft (26 m),UTC−8 (PST)
178,178,Rockford,Illinois,146526,152871,−4.15%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W,"https://en.wikipedia.org//wiki/Rockford,_Illinois",728 ft (222 m),UTC−6 (CST)
179,179,Savannah,Georgia,145862,136286,+7.03%,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W,"https://en.wikipedia.org//wiki/Savannah,_Georgia",49 ft (15 m),UTC−5 (EST)
180,180,Paterson,New Jersey,145627,146199,−0.39%,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W,"https://en.wikipedia.org//wiki/Paterson,_New_Jersey",112 ft (34.1376 m),UTC−5 (Eastern (EST))
181,181,Torrance,California,145182,145438,−0.18%,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W,"https://en.wikipedia.org//wiki/Torrance,_California",89 ft (27 m),UTC−8 (Pacific)
182,182,Bridgeport,Connecticut,144900,144229,+0.47%,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W,"https://en.wikipedia.org//wiki/Bridgeport,_Connecticut",3 ft (1 m),UTC-5 (Eastern)
183,183,McAllen,Texas,143433,129877,+10.44%,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W,"https://en.wikipedia.org//wiki/McAllen,_Texas",121.4 ft (37.1 m),UTC−6 (CST)
184,184,Mesquite,Texas,142816,139824,+2.14%,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W,"https://en.wikipedia.org//wiki/Mesquite,_Texas",495 ft (151 m),UTC-6 (CST)
185,185,Syracuse,New York,142749,145170,−1.67%,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W,"https://en.wikipedia.org//wiki/Syracuse,_New_York",380 ft (116 m),UTC−5 (Eastern)
186,186,Midland,Texas,142344,111147,+28.07%,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W,"https://en.wikipedia.org//wiki/Midland,_Texas","2,782 ft (848 m)",UTC−6 (CST)
187,187,Pasadena,California,141371,137122,+3.10%,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W,"https://en.wikipedia.org//wiki/Pasadena,_California",863 ft (263 m),UTC−8 (Pacific)
188,188,Murfreesboro,Tennessee,141344,108755,+29.97%,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W,"https://en.wikipedia.org//wiki/Murfreesboro,_Tennessee",610 ft (186 m),UTC−6 (CST)
